Gene_id,CTRL1,CTRL2,CTRL3,EVE1,EVE2,EVE3,description
ERCC-00170,53,37,58,21,19,16,None
ERCC-00171,22674,15921,22941,22833,28758,23514,None
TC016185,6,1,3,5,10,4,None
TC016184,4,8,3,2,4,4,None
TC016186,7,11,16,15,6,8,None
TC016180,1,0,0,1,0,0,None
TC016187,2,4,1,3,2,4,None
TC031613,177,152,177,109,117,185,None
TC031614,93,85,82,79,78,80,Retrovirus-related Pol polyprotein from transposon 412-like Protein 
TC016179,10,10,6,8,5,8,None
TC016178,5,7,3,3,10,4,None
TC016177,6,4,6,8,11,6,None
TC031615,15,13,18,11,14,14,None
TC016174,5,5,2,3,3,9,None
TC016190,12,5,5,12,9,9,None
TC034911,188,153,142,116,82,117,None
TC005019,4003,4650,3943,2083,1867,1952,None
TC005020,4,1,0,3,1,2,None
TC031622,690,693,620,483,541,591,None
TC031623,293,318,240,234,207,285,Retrovirus-related Pol polyprotein from transposon 17.6-like Protein 
TC005017,15,4,7,5,13,13,None
TC005016,35,35,24,28,28,50,None
TC005015,5,4,0,2,6,2,None
TC005014,1,1,0,1,3,0,None
TC034912,2,1,4,5,1,9,None
TC011493,0,0,0,0,0,0,None
TC011492,1,0,0,0,0,0,None
TC011494,5,5,6,3,4,11,None
TC011491,1,1,0,0,0,1,None
TC011490,3,1,1,6,6,0,None
TC011495,1,0,0,0,0,1,None
TC011489,0,0,1,0,2,0,None
TC011488,0,0,0,1,0,0,None
TC011496,1,2,3,2,1,7,None
TC011487,23,13,18,5,11,13,None
TC031617,10,6,6,5,16,13,None
TC034913,42,42,33,7,23,23,None
TC034914,34,32,35,17,46,60,None
TC034915,748,622,630,645,628,814,None
TC001399,5,6,4,1,4,6,None
TC031610,267,247,206,225,206,277,POC1 centriolar protein homolog-like Protein 
TC034916,313,300,258,268,263,373,None
TC001395,10,14,8,14,7,11,None
TC031612,10,11,10,13,15,10,None
TC001401,3,2,1,1,2,5,None
TC016130,3,0,4,1,1,3,None
TC016131,4,3,3,0,3,2,None
TC002237,25,22,16,17,10,19,None
TC002236,27,35,29,16,23,17,None
TC001812,8,6,5,12,3,6,None
TC001811,1,0,2,1,1,3,None
TC034917,834,753,846,769,756,820,None
TC001810,18,12,7,5,10,12,None
TC010736,14,14,18,5,6,18,None
TC010735,4,3,4,1,9,4,None
TC010737,1,0,1,1,2,1,None
TC010738,2,3,3,6,2,4,None
TC034918,728,727,535,600,415,682,None
TC031618,257,300,215,264,167,289,None
TC006863,673,721,504,532,407,634,None
ENSRNA022722441,24,16,21,25,20,29,Eukaryotic small subunit ribosomal RNA
TC006861,8,6,2,4,7,5,None
TC031620,161,146,128,141,176,232,None
TC004254,5040,4350,3522,4248,5225,6870,None
TC004250,21,31,22,134,33,32,None
TC004249,21,23,12,13,14,23,None
TC004248,7,7,4,3,6,12,Gustatory receptor 205 
TC004252,3,3,1,5,3,4,None
TC006898,1,1,2,2,0,1,None
TC001906,1,3,1,2,0,0,None
TC016421,47,37,43,44,50,64,None
TC016420,15,14,6,4,4,12,None
TC016419,5,5,6,8,7,7,None
TC011498,12,10,5,2,7,13,None
TC011497,20,7,9,9,6,11,None
TC034919,4,15,5,5,14,8,None
TC011500,51,34,27,50,47,45,None
ENSRNA022724227,9,3,3,4,0,4,Eukaryotic small subunit ribosomal RNA
TC006921,0,0,0,2,1,2,None
TC034920,3,10,4,5,6,5,None
TC006995,25,46,17,22,46,36,None
TC006996,3,5,1,3,3,1,None
TC031606,316,321,256,294,268,415,None
TC006997,14,16,12,9,24,13,None
TC034921,20,25,18,16,25,22,None
TC006944,0,0,0,0,0,0,None
TC030919,3,0,1,0,2,1,None
TC006946,2,1,1,0,2,3,None
TC006947,29,16,22,11,17,27,None
TC006948,2,3,4,6,6,5,None
TC031607,6,4,5,12,9,9,None
TC034922,63,72,47,69,52,84,None
TC001591,7,3,3,3,7,6,None
TC005125,47,35,26,59,19,30,None
TC005126,96,100,64,89,98,78,None
TC005127,23,23,14,29,27,20,None
TC031790,23,32,35,28,32,35,None
TC034923,0,0,0,0,0,0,None
TC034924,4,3,3,4,3,3,None
TC031791,1652,1776,1661,2030,1762,1947,None
TC005123,472,460,480,522,456,434,"Putative medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like Protein "
TC005122,10139,10477,9338,13162,8629,10224,None
TC031792,1388,1519,1471,1680,1527,1659,None
TC005129,2784,2907,2957,3576,3174,3356,Protein PBDC1-like Protein 
TC005120,46945,46107,47389,55388,56176,56348,None
TC005130,8,10,12,15,11,21,Serine protease P60 
TC031793,462,458,392,476,550,581,None
TC030948,6403,6437,6635,6996,7133,6509,G-protein coupled receptor 124-like Protein 
TC005119,36,31,22,30,33,74,None
TC005133,15,22,19,20,29,27,Carboxylic ester hydrolase 
TC030248,1,0,1,1,3,1,Gustatory receptor 
TC005134,606,560,547,767,537,587,None
TC005135,14,10,14,9,7,13,None
TC031794,240,232,200,182,194,186,Protein-tyrosine-phosphatase 
TC031795,500,356,506,459,584,351,Carboxypeptidase D-like Protein 
TC005117,0,0,0,0,0,0,None
TC031796,0,2,2,0,2,1,None
TC005116,0,0,0,0,0,0,None
TC031797,0,0,1,1,1,1,None
TC031798,0,2,0,0,2,3,None
TC031799,86,75,79,70,43,56,None
TC016256,5999,6058,6331,6708,7058,6445,None
TC031800,20,29,27,26,28,26,Small glutamine-rich tetratricopeptide repeat-containing protein alpha-like Protein 
TC030949,12,16,11,18,13,22,None
TC016251,89,93,100,135,120,215,Esterase-6-like Protein 
TC030950,4052,3810,3880,5661,4625,4714,Glutamyl aminopeptidase-like Protein 
TC016252,11,19,11,8,21,18,None
TC031801,659,870,638,520,676,991,None
TC030951,169,226,201,153,131,271,None
TC031802,54,34,45,34,50,31,None
TC010720,51,40,53,31,53,32,None
TC010718,2,0,0,0,0,0,None
TC031803,120,112,84,91,108,108,None
TC031804,53,32,33,59,41,34,None
TC010725,5,2,1,4,2,3,None
TC031805,29,19,23,22,26,17,None
TC031806,105,69,83,63,80,62,None
TC031807,14,10,13,10,13,9,None
TC011357,6892,7063,6859,7921,7350,7681,Serine/threonine-protein kinase receptor 
TC011122,2093,2198,2047,2781,2339,2380,None
TC011121,50,54,100,61,100,86,Elongation of very long chain fatty acids protein 
TC011358,18,11,10,11,21,19,None
TC011120,4477,4300,4222,4184,4272,4962,Ras opposite 
TC011359,3554,3520,3386,3324,3139,3468,Ribonuclease 
TC011119,955,966,962,977,848,816,Kynurenine--oxoglutarate transaminase 3-like Protein 
TC031386,3150,3583,3720,4002,4253,3825,Cyclic AMP-responsive element-binding protein 3-like protein 2 
TC034925,4411,4742,4290,4391,3706,4507,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha-like protein 
TC011360,148,160,135,142,99,152,None
TC011115,69,56,46,59,28,33,UPF0605 protein CG18335-like Protein 
TC011361,408,337,390,353,349,242,Argininosuccinate synthase-like Protein 
TC011362,4106,4316,4485,4818,4576,3741,None
TC011114,9827,10417,9458,9132,9669,9157,None
TC011363,0,1,0,2,0,0,None
TC011113,0,1,0,0,0,0,None
TC011364,0,2,1,2,0,1,None
TC031387,236,216,195,183,192,220,None
TC011111,0,1,0,0,1,1,None
TC031388,1,0,3,1,1,1,None
TC011109,0,3,0,1,0,0,None
TC011366,2,0,2,1,1,0,None
TC011370,0,0,0,2,0,0,None
TC011107,0,0,0,1,0,2,None
TC031389,0,1,1,0,0,0,None
TC011106,5266,5070,5350,5699,5602,5985,Putative phenylalanine--tRNA ligase alpha subunit-like Protein 
TC031390,5316,5558,5563,5238,5465,4916,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like Protein 
TC031391,7275,7559,7254,7605,6757,6769,Chondroitin sulfate synthase 1-like Protein 
TC011372,3043,2960,3249,3132,3110,3388,"39S ribosomal protein L1, mitochondrial-like Protein "
TC011105,420,421,356,321,193,104,Spineless 
TC011373,8,7,10,16,8,11,"Cytochrome b-c1 complex subunit Rieske, mitochondrial "
TC011104,112,79,107,91,44,46,None
TC011374,10147,11100,10946,11114,10935,10649,Protocadherin 15 
TC030239,7,3,5,7,3,4,Gustatory receptor 
TC030238,1,8,2,6,1,4,Gustatory receptor 
TC030237,0,7,2,1,0,1,Gustatory receptor 
TC030236,4,7,7,1,1,5,Gustatory receptor 
TC030235,0,1,2,7,5,1,Gustatory receptor 
TC030234,3,1,5,1,2,0,Gustatory receptor 
TC030233,0,1,0,4,0,0,Gustatory receptor 
TC011101,261,271,282,168,125,137,Cuticular protein analogous to peritrophins 1-J 
TC011375,0,0,0,0,0,0,None
TC011100,2592,2749,2678,3008,2879,3346,Benign gonial cell neoplasm 
TC011376,575,538,543,688,563,574,Carboxylic ester hydrolase 
TC011377,932,1023,926,1058,977,990,"Serine--tRNA ligase, mitochondrial-like Protein "
TC011099,6784,7958,7960,9234,8661,7811,None
TC011378,2,1,0,2,2,2,None
TC011379,4289,4664,4374,5926,5360,5521,Tartan/capricious-like protein 
TC011098,457,488,463,581,457,557,None
TC011097,0,1,2,2,6,0,None
TC011096,0,0,1,1,2,0,None
TC011380,1619,1690,1662,1823,1616,1856,DNA polymerase theta-like Protein 
TC011095,4786,5229,4986,4815,4199,4583,PH and SEC7 domain-containing protein 3-like Protein 
TC034926,2,0,0,1,0,0,None
TC011381,3851,3907,3928,4150,3911,4050,CDGSH iron-sulfur domain-containing protein 2 homolog-like Protein 
TC011094,598,495,575,969,771,662,None
TC011093,3711,3637,3734,4119,3894,4502,Ubiquitin thioesterase OTU1-like Protein 
TC011382,15694,16125,16034,14382,14686,15411,Cell division cycle 5-like protein 
TC011383,1369,1510,1523,1565,1275,1795,AMSH-like protease 
ENSRNA022737275,0,1,0,1,1,0,tRNA-Leu for anticodon UAA
TC011092,36,34,27,23,41,40,Xaa-Pro aminopeptidase 1-like Protein 
TC011384,1,1,0,3,2,3,None
TC011385,4,0,3,3,7,5,Catalase-like Protein 
TC011091,0,0,0,0,0,0,None
TC011090,27,14,19,16,20,13,Catalase-like Protein 
TC031392,9468,10104,10012,10257,10359,9985,"alpha-1,2-Mannosidase "
TC011087,13576,15337,15407,12311,11737,11023,None
TC011387,27,18,36,22,36,24,None
TC011086,836,900,896,1073,887,1043,DNA excision repair protein ERCC-1-like Protein 
TC011388,4355,4542,4558,4820,4525,5163,Dynactin subunit 4-like Protein 
TC011085,88108,83480,90200,98071,98464,98035,40S ribosomal protein S14-like Protein 
TC011389,73512,74200,70747,61554,64601,59643,None
TC011390,14048,14363,13668,19471,12127,14124,Alanine--glyoxylate aminotransferase 2-like 
TC011084,6,17,14,36,14,19,None
TC011083,0,0,0,0,0,0,None
TC031393,57,62,54,94,66,51,None
TC031394,529,710,643,902,906,1066,None
TC031395,3761,3947,3976,2968,1711,1716,None
TC031396,78,75,66,45,40,34,None
TC031397,500,503,465,457,423,441,None
TC011082,70023,72804,74493,77665,72417,76229,S-adenosylmethionine synthase 
TC031398,673,656,668,495,576,388,Venom carboxylesterase-6-like Protein 
TC011081,21941,23446,23579,22214,20115,21268,Splicing factor 1-like Protein 
TC011397,20670,21110,20727,20005,20096,21785,None
TC011080,63,71,62,60,50,60,"Putative inner dynein arm light chain, axonemal-like Protein "
TC011398,3381,3503,3621,2589,2395,2681,None
TC011399,27212,26287,27139,26728,26694,26190,None
TC011079,1226,1098,1173,1353,1256,1318,"28S ribosomal protein S24, mitochondrial-like Protein "
TC005028,1,1,0,0,0,0,None
TC032279,3,4,6,6,4,5,None
TC016045,2,0,0,1,0,2,None
TC016333,6,2,2,5,7,6,None
TC006859,0,0,0,0,0,0,None
TC011581,0,0,0,0,0,0,None
TC014819,1062,992,1140,1127,1278,1164,Fatty acid desaturase D7 
TC014820,22,18,33,28,31,41,Acyl-CoA Delta(11) desaturase-like Protein 
TC014821,36,37,27,31,20,35,Fatty acid desaturase D8 
TC034927,105,115,205,157,208,330,None
TC000017,11,3,6,8,5,19,None
TC010715,0,0,0,0,0,0,None
TC030946,2,0,0,0,0,1,Putative RNA-directed DNA polymerase from transposon BS-like Protein 
TC002160,0,0,0,0,0,0,None
TC001586,0,0,2,0,1,3,None
TC010229,1276,1437,1393,1577,1428,1594,Synembryn-like Protein 
TC010228,4636,4681,5028,4477,4097,4368,Replication factor C 40kD subunit 
TC030962,117,108,109,157,106,128,None
TC031926,4,5,7,7,4,7,None
TC004179,5625,5845,5285,6224,5935,6077,None
TC031298,2825,3246,3026,3363,3210,3387,None
TC001429,208,240,206,147,104,131,None
TC034929,0,0,0,0,0,0,None
TC001428,80,67,72,57,53,52,Retrovirus-related Pol polyprotein from transposon 17.6-like Protein 
TC000155,0,1,0,1,0,0,None
TC004165,0,0,0,0,0,0,None
TC031225,64,69,58,59,69,71,None
TC034930,0,0,0,0,3,0,None
TC004331,23,32,34,21,30,23,None
TC004327,23,32,21,21,36,36,None
TC000019,0,1,0,0,0,1,None
TC002040,0,0,0,0,0,0,None
TC002039,45,43,28,34,42,51,Putative RNA-directed DNA polymerase from transposon BS-like Protein 
TC031078,15,13,13,15,10,10,Putative RNA-directed DNA polymerase from transposon BS-like Protein 
TC016138,0,2,1,1,1,1,None
TC001974,0,0,0,0,1,0,None
TC001975,6401,6371,6946,5252,5335,5047,None
TC001973,1,0,1,0,3,0,None
TC001972,6,3,6,8,5,3,None
TC001976,1622,1420,1648,1308,1733,1425,None
TC001971,12186,11722,13652,11755,12165,11158,None
TC001970,3310,3752,3739,2791,2419,2537,Exonuclease 1-like Protein 
TC001969,59,57,52,60,49,46,None
TC001977,43,60,63,60,93,138,Xanthine dehydrogenase-like Protein 
TC001968,0,0,0,1,0,0,None
TC001978,103,123,97,140,160,279,None
TC034931,0,0,0,0,0,0,None
TC031831,207,176,172,143,135,174,Neurogenic locus Notch protein-like Protein 
TC031832,2256,2082,2184,2409,1990,2052,None
TC031833,230,184,198,99,68,46,None
TC001979,2855,2884,2940,2911,2658,2738,Shifted 
TC031834,6646,6901,6957,6503,7120,6547,Putative vitellogenin receptor-like Protein 
TC001982,7833,7278,7916,9704,9692,10909,None
TC001965,4360,4806,4780,4841,4904,5078,VWFA and cache domain-containing protein CG16868-like Protein 
TC001983,6660,6948,7155,7773,7289,7853,Palmitoyltransferase 
TC001964,7000,7609,7459,7180,6176,6844,Dual specificity protein phosphatase CDC14A-like Protein 
TC010573,11,8,4,8,5,11,None
TC010572,9,16,10,9,7,11,None
TC012985,0,1,2,0,0,1,None
TC001817,4052,4052,4306,5340,5735,6747,Aurora kinase A 
TC031655,5129,5750,5485,6001,5139,6274,None
TC031007,1,4,0,0,0,0,None
TC031627,0,0,0,1,0,0,None
TC034932,0,0,0,0,0,0,None
TC002158,0,0,0,0,0,0,None
TC030941,165,139,129,118,124,167,None
TC010305,0,0,1,0,1,0,None
TC031830,40,26,39,23,30,62,None
TC004283,5,1,1,3,3,5,None
TC004284,44,48,43,50,46,86,None
TC004281,5,1,3,4,2,4,None
TC004286,1,2,2,2,2,6,None
TC004280,3,6,6,2,4,1,None
TC004288,12,5,9,10,7,8,None
TC004279,1,0,1,0,1,2,None
TC004278,99,85,79,65,56,65,None
TC004182,0,0,0,0,0,0,None
TC006916,2,2,1,3,5,1,None
TC034933,0,0,0,0,0,0,None
TC034499,372,588,422,250,272,364,None
TC016004,18,13,23,22,23,21,None
TC005051,5,7,2,0,3,6,None
TC034934,67,39,32,48,53,74,None
TC031924,1276,1390,1424,1532,1224,1368,None
TC031925,39,41,22,36,21,41,None
TC005049,4,4,1,2,0,3,None
TC002109,0,0,0,0,0,0,None
TC031938,54,57,51,42,37,34,None
TC016008,9,17,6,6,7,5,None
TC031017,0,1,0,0,1,1,None
TC004332,0,0,0,0,0,0,None
TC031664,15,9,6,9,11,12,Retrovirus-related Pol polyprotein from transposon 297-like Protein 
TC010892,1,0,0,1,0,0,None
TC010891,0,0,0,0,0,1,None
TC032277,53,44,55,60,64,66,None
TC034935,197,200,205,211,228,224,None
TC034936,11,4,4,4,4,8,None
TC011578,1,0,0,0,0,0,None
TC002234,0,0,1,2,4,6,None
TC031603,270,231,258,325,194,240,None
TC001497,4,3,4,7,3,5,Histone H3 
TC005295,0,5,8,5,8,6,None
TC005294,1,3,1,3,1,1,None
TC005293,8,16,6,9,12,17,None
TC005262,0,0,1,0,0,0,None
TC004188,49,40,43,51,52,65,E3 ubiquitin-protein ligase mind-bomb-like Protein 
TC031936,20,25,22,22,21,34,None
TC000018,3,3,2,1,1,2,None
TC031736,0,0,2,0,0,0,None
TC004300,3,0,2,0,0,1,None
TC032965,72,105,96,78,60,97,None
TC008561,3,4,2,3,2,3,None
TC010607,14,5,9,4,10,3,Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2-like Protein 
ENSRNA022723923,0,0,1,0,0,0,Eukaryotic large subunit ribosomal RNA
TC005054,223,251,272,249,167,209,None
TC001851,38,89,64,40,47,77,None
TC001850,145,342,235,141,145,255,None
TC033283,3,0,2,2,1,4,None
TC006926,78,68,55,80,47,46,Histone-lysine N-methyltransferase SETMAR-like Protein 
TC001860,4,11,3,3,3,4,None
TC031904,65,46,44,36,84,70,None
TC002153,4,4,2,4,3,1,None
TC002152,7,4,0,1,8,7,None
TC002156,2,2,0,3,5,5,None
TC031088,140,127,140,160,146,148,Nectin-3-like Protein 
TC005057,13,26,24,26,29,36,None
TC031300,0,0,0,0,0,0,None
TC002383,6,11,3,5,9,7,None
TC002382,17,16,14,15,15,16,None
TC002384,20,43,30,32,29,29,None
TC002381,3,4,8,4,9,9,Odorant receptor 339 
TC002385,50,59,67,52,68,62,None
TC031893,1,5,2,5,5,3,None
TC002386,226,205,212,462,655,841,Protein Wnt 
TC031894,14,15,17,14,14,20,None
TC002378,5,6,5,7,7,9,None
TC031011,0,1,0,0,3,1,None
TC016044,5936,5413,5587,8062,7495,8916,Chaoptin-like Protein 
TC010732,0,0,0,0,0,0,None
TC010731,0,0,1,1,0,1,None
TC010733,0,1,0,3,0,0,None
TC010734,1,2,1,1,4,5,None
TC010730,0,0,0,1,0,0,None
TC010729,10,13,4,6,7,3,None
TC032962,1435,1453,1470,1545,1464,1622,Heat shock protein 83-like Protein 
TC001642,456,401,470,353,384,367,Fanconi anemia group D2 protein-like Protein 
TC016330,1,2,4,1,1,3,None
TC030922,1,8,1,4,5,4,None
TC030969,0,0,0,0,0,0,None
ENSRNA022724044,0,0,0,0,0,0,5S ribosomal RNA
ENSRNA022724052,0,0,0,0,0,0,5S ribosomal RNA
ENSRNA022724060,0,0,0,0,0,0,5S ribosomal RNA
ENSRNA022724093,0,0,0,0,0,0,5S ribosomal RNA
ENSRNA022724067,0,0,0,0,0,0,5S ribosomal RNA
ENSRNA022724073,0,0,0,0,0,0,5S ribosomal RNA
ENSRNA022724083,0,0,0,0,0,0,5S ribosomal RNA
TC031090,1,0,1,1,0,0,RNA-directed DNA polymerase from mobile element jockey-like Protein 
TC002101,12,14,17,9,9,10,None
TC031302,0,6,3,0,2,2,None
TC005257,20,16,14,23,18,27,None
TC005256,0,0,0,0,1,0,None
TC005258,42,49,54,49,55,48,None
TC005255,36,30,25,29,27,28,None
TC005259,24,28,28,29,17,27,None
TC005254,3,3,3,2,4,7,None
TC031588,18,20,17,33,15,42,None
TC005252,0,0,0,0,0,0,None
TC012959,7,8,7,3,2,3,None
TC012958,1,2,1,1,1,1,None
TC012957,13,11,7,7,7,12,None
TC031589,1258,1414,1805,2770,2261,2741,None
ENSRNA022723664,14,32,23,278,59,30,Eukaryotic large subunit ribosomal RNA
TC011586,22,12,14,9,18,23,None
TC011585,39,32,25,24,35,23,None
ENSRNA022723655,0,0,0,0,0,0,Eukaryotic large subunit ribosomal RNA
TC031590,687,648,787,638,847,1589,None
TC011590,143,123,141,147,183,375,None
TC005249,23143,20151,24540,29329,32531,28637,Phosphoribosylformylglycinamidine synthase-like Protein 
TC005250,0,0,0,0,0,0,None
TC034937,150,192,164,158,115,206,None
TC031882,0,1,1,0,1,2,None
TC004226,1,0,1,0,0,0,None
TC004225,1,0,2,4,1,3,None
TC004224,2,4,8,4,3,4,None
TC004223,1,0,1,0,0,1,None
TC016173,1286,1330,1375,1470,1347,1456,PRA1 family protein 
TC016172,905,952,944,1021,964,1035,None
TC004088,2847,2671,2977,3254,3251,3151,Ankyrin repeat and MYND domain-containing protein 2-like Protein 
TC004087,6,2,4,6,9,3,None
TC015878,0,0,0,0,0,0,None
TC033296,2,4,3,7,5,11,None
TC001909,4,6,3,3,4,4,None
TC031775,84,89,82,92,61,64,None
TC001911,0,0,0,0,1,0,None
TC031084,80,57,76,68,55,45,None
TC010232,3,3,2,4,6,5,None
TC031586,230,282,251,227,210,271,None
TC031699,38,24,25,38,42,64,None
TC034938,0,0,0,0,0,0,None
TC005205,44,61,65,96,103,226,None
TC005206,4,5,3,13,8,31,None
TC001485,4,10,8,6,3,7,None
TC006924,1261,1455,1366,1717,1395,1620,None
TC001583,0,0,0,0,0,0,None
TC004040,0,1,0,1,0,0,None
TC034939,85,124,108,105,111,92,None
TC031895,21388,18947,22327,21738,24308,24030,None
TC005277,14,18,14,18,10,16,None
TC030930,31,24,22,28,24,23,Putative 115 kDa protein in type-1 retrotransposable element R1DM-like Protein 
TC031865,1528,1645,1610,1847,1724,1891,PIN2/TERF1-interacting telomerase inhibitor 1-like Protein 
TC004415,0,1,1,1,0,0,None
TC001984,0,0,0,0,0,0,Histone-lysine N-methyltransferase SETMAR-like Protein 
TC004176,77,95,83,91,87,92,None
TC005025,4,9,8,4,3,6,None
TC006833,210,173,243,453,333,478,Acetyl-coenzyme A synthetase-like Protein 
TC006832,97,134,127,112,79,113,None
TC031899,100,99,93,152,136,174,Serine/threonine-protein kinase fused-like Protein 
TC006831,26,18,9,17,22,28,None
TC006830,2,1,1,4,8,7,None
TC034940,1,2,0,1,2,4,Cytochrome P450 4e3-like protein 
TC034941,1280,1379,1337,1845,1635,1694,None
TC006836,7,7,5,10,12,4,None
TC006837,588,582,591,734,538,638,None
TC030971,835,866,845,909,890,890,Zinc finger protein 234-like Protein 
TC006824,136,128,126,126,125,191,POU class 6 homeobox 2 
TC006840,846,822,779,918,840,909,None
TC006841,1349,1469,1394,1662,1576,1579,None
TC031901,896,972,871,957,977,1025,Zinc finger protein 208-like Protein 
TC031902,109,121,118,628,167,98,None
TC006823,1501,1513,1650,1767,1687,1763,Dihydrolipoyl dehydrogenase-like Protein 
TC006822,1577,1585,1633,1629,1671,1616,None
TC006844,17522,17758,18402,20979,19141,19076,Methionine aminopeptidase 2 
TC006821,11572,11608,10962,11897,11487,12327,None
TC034942,74,90,94,139,107,47,None
TC030937,0,0,0,0,1,0,None
TC033280,78,92,78,370,109,109,None
TC010739,35,35,23,38,25,34,Gustatory receptor 
TC031600,1595,1932,1874,1719,1409,1893,None
TC034944,250,308,324,284,229,305,None
TC031587,280,313,273,211,202,254,None
TC004228,0,0,0,0,0,0,None
TC002033,1,1,0,0,0,0,None
TC032966,0,0,0,0,0,0,None
TC002034,0,0,0,0,0,0,None
TC002032,0,0,0,0,0,0,None
TC002031,6,8,4,5,0,3,None
TC016143,1,0,0,0,1,1,None
TC031597,903,1364,1049,693,674,798,None
TC001814,335,297,365,443,441,276,UNC93-like protein 
TC033297,62,52,53,53,68,67,Putative RNA-directed DNA polymerase from transposon X-element-like Protein 
TC034945,4,4,6,4,5,8,Putative RNA-directed DNA polymerase from transposon X-element-like protein 
TC005209,47,49,29,38,42,42,Histone H2A 
TC004189,0,0,0,0,0,0,None
TC000036,9,9,6,5,7,8,None
TC010560,15,8,13,12,12,9,None
